year,date,team,opponent,win,srs,win/loss,Exp,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
2023,2023-04-03,Connecticut,San Diego State,-0.055,7.14,1,-0.81,4.0,3.8,3.8,0.3,1.3,-0.5,0.014,0.014
2023,2023-03-17,Creighton,North Carolina State,-0.061,5.33,1,-0.65,-1.8,-0.1,0.9,-1.2,-0.5,0.7,-0.004,0.014
2023,2023-03-19,Creighton,Baylor,-0.051,0.53,1,-0.70,-1.3,1.6,-0.7,-1.5,-0.4,2.2,-0.024,-0.002
2023,2023-03-24,Creighton,Princeton,-0.088,13.07,1,-0.38,0.4,2.0,2.3,-0.6,0.4,0.6,0.004,0.013
2023,2023-03-26,Creighton,San Diego State,-0.176,2.02,0,-0.97,5.1,4.9,5.0,1.9,3.0,1.6,0.015,0.029
2023,2023-03-17,Drake,Miami (FL),0.013,-6.14,0,0.42,-6.2,-2.2,-4.5,-4.3,-4.4,0.6,-0.028,-0.013
2023,2023-03-16,Duke,Oral Roberts,-0.118,7.28,1,-0.95,-9.0,-2.3,-2.0,-3.1,-2.4,-0.4,-0.025,-0.036
2023,2023-03-18,Duke,Tennessee,0.068,-5.01,0,-0.53,3.5,6.3,5.2,2.4,3.7,1.9,0.018,0.023
2023,2023-03-17,Fairleigh Dickinson,Purdue,-0.282,-27.21,1,0.41,8.1,9.0,7.0,6.7,5.3,-2.9,0.035,0.030
2023,2023-03-19,Fairleigh Dickinson,Florida Atlantic,-0.340,-22.90,0,0.34,4.3,5.2,7.7,5.6,4.3,-1.4,0.029,0.003
2023,2023-03-17,Florida Atlantic,Memphis,0.147,-0.58,1,-1.15,-4.1,-1.5,-2.8,-3.6,-4.0,2.2,-0.007,0.014
2023,2023-03-19,Florida Atlantic,Fairleigh Dickinson,0.340,22.90,1,-0.34,-4.3,-2.0,-4.7,-4.1,-5.1,1.4,-0.029,-0.003
2023,2023-03-23,Florida Atlantic,Tennessee,0.215,-6.92,1,-0.43,7.2,7.2,6.0,3.7,3.6,1.3,0.031,0.048
2023,2023-03-25,Florida Atlantic,Kansas State,0.193,-1.87,1,-0.97,-1.5,0.2,-2.0,-2.7,-3.0,2.4,-0.008,0.019
2023,2023-04-01,Florida Atlantic,San Diego State,0.099,-1.89,0,-0.82,4.2,4.2,2.8,1.1,0.7,0.2,0.013,0.029
2023,2023-03-16,Furman,Virginia,0.013,-8.39,1,-0.31,11.9,6.9,8.0,6.3,5.1,-1.7,0.032,-0.009
2023,2023-03-18,Furman,San Diego State,-0.018,-10.92,0,-0.36,8.7,5.3,6.9,4.1,4.0,0.2,0.042,0.021
2023,2023-03-17,Gonzaga,Grand Canyon,0.163,14.56,1,0.06,8.5,4.9,6.0,3.9,3.4,-0.6,0.035,0.014
2023,2023-03-19,Gonzaga,Texas Christian,0.212,3.38,1,0.22,7.9,3.7,3.8,3.0,2.0,1.7,0.047,0.055
2023,2023-03-23,Gonzaga,UCLA,-0.004,-3.12,1,0.46,12.4,8.8,8.9,7.7,6.7,0.9,0.051,0.034
2023,2023-03-25,Gonzaga,Connecticut,0.091,-3.96,0,0.44,8.4,8.2,8.2,5.0,5.0,0.8,0.036,0.034
2023,2023-03-17,Grand Canyon,Gonzaga,-0.163,-14.56,0,-0.06,-8.5,-0.5,-3.0,-3.2,-2.7,0.6,-0.035,-0.014
2023,2023-03-16,Houston,Northern Kentucky,0.265,23.03,1,0.25,0.5,-0.4,-2.6,-1.9,-1.8,1.7,-0.019,-0.043
2023,2023-03-18,Houston,Auburn,0.287,7.85,1,-0.42,-4.1,-3.5,-3.4,-4.7,-4.4,0.8,-0.005,0.008
2023,2023-03-24,Houston,Miami (FL),0.131,8.22,0,0.08,-9.3,-3.8,-7.2,-6.2,-6.5,0.0,-0.047,-0.042
2023,2023-03-16,Howard,Kansas,-0.147,-24.24,0,0.11,2.2,2.7,4.1,2.8,2.4,-2.6,0.018,0.029
2023,2023-03-16,Illinois,Arkansas,0.019,-1.18,0,-0.33,-0.3,2.1,0.6,-0.3,1.0,0.6,-0.010,0.009
2023,2023-03-17,Indiana,Kent State,-0.157,7.41,1,-0.20,0.7,1.8,3.4,1.6,2.5,2.2,0.004,0.028
2023,2023-03-19,Indiana,Miami (FL),-0.115,0.96,0,0.21,-3.8,0.2,-1.3,-1.7,-0.8,0.5,-0.026,-0.001
2023,2023-03-17,Iona,Connecticut,0.037,-15.34,0,0.35,-0.5,3.5,3.6,1.2,2.2,0.3,-0.011,0.000
2023,2023-03-16,Iowa,Auburn,-0.031,-0.27,0,-0.50,7.2,4.0,6.1,3.3,3.5,1.3,0.038,0.052
2023,2023-03-17,Iowa State,Pittsburgh,-0.083,4.77,0,0.17,-7.3,-4.0,-3.3,-1.7,-3.8,-3.5,-0.007,-0.010
2023,2023-03-16,Kansas,Howard,0.147,24.24,1,-0.11,-2.2,-1.0,-0.1,-2.3,-1.8,2.6,-0.018,-0.029
2023,2023-03-18,Kansas,Arkansas,0.188,3.21,0,-0.07,0.8,1.6,3.0,1.1,0.6,0.3,0.000,0.017
2023,2023-03-17,Kansas State,Montana State,-0.017,13.61,1,0.84,2.7,3.5,5.4,2.7,1.9,-1.6,-0.013,-0.012
2023,2023-03-19,Kansas State,Kentucky,0.063,1.03,1,0.63,1.9,3.3,3.7,2.1,1.4,-3.0,0.010,-0.010
2023,2023-03-23,Kansas State,Michigan State,0.106,1.54,1,0.63,3.7,2.0,3.0,2.2,0.7,-4.1,0.008,-0.033
2023,2023-03-25,Kansas State,Florida Atlantic,-0.193,1.87,0,0.97,1.5,3.1,6.7,3.4,2.6,-2.4,0.008,-0.019
2023,2023-03-17,Kennesaw State,Xavier,0.029,-15.43,0,0.19,-5.5,-1.1,-2.7,-2.1,-3.2,-1.3,-0.012,-0.026
2023,2023-03-17,Kent State,Indiana,0.157,-7.41,0,0.20,-0.7,-0.7,-1.1,-0.3,-1.1,-2.2,-0.004,-0.028
2023,2023-03-17,Kentucky,Providence,0.000,1.87,1,0.14,-3.0,1.9,-0.4,-1.4,-1.7,0.3,-0.009,-0.006
2023,2023-03-19,Kentucky,Kansas State,-0.063,-1.03,0,-0.63,-1.9,1.7,-0.4,-1.5,-1.2,3.0,-0.010,0.010
2023,2023-03-16,Louisiana Lafayette,Tennessee,0.091,-16.57,0,0.18,9.1,8.1,8.1,6.1,5.9,1.0,0.046,0.059
2023,2023-03-17,Marquette,Vermont,0.127,15.44,1,-0.69,5.0,1.4,4.7,3.8,1.9,-2.9,0.003,-0.008
2023,2023-03-19,Marquette,Michigan State,0.211,2.82,0,-0.64,5.4,0.8,3.3,3.0,1.0,-2.9,0.027,-0.009
2023,2023-03-16,Maryland,West Virginia,0.061,-1.37,1,0.09,-6.9,-2.5,-4.2,-4.3,-3.1,2.5,-0.026,-0.020
2023,2023-03-18,Maryland,Alabama,-0.217,-8.61,0,0.18,-8.5,-4.3,-1.6,-3.3,-2.5,1.5,0.020,0.017
2023,2023-03-17,Memphis,Florida Atlantic,-0.147,0.58,0,1.15,4.1,4.7,7.0,4.7,4.4,-2.2,0.007,-0.014
2023,2023-03-17,Miami (FL),Drake,-0.013,6.14,1,-0.42,6.2,5.0,6.2,5.0,4.4,-0.6,0.028,0.013
2023,2023-03-19,Miami (FL),Indiana,0.115,-0.96,1,-0.21,3.8,1.8,3.0,2.0,1.6,-0.5,0.026,0.001
2023,2023-03-24,Miami (FL),Houston,-0.131,-8.22,1,-0.08,9.3,8.7,9.4,8.2,7.5,0.0,0.047,0.042
2023,2023-03-26,Miami (FL),Texas,0.017,-6.58,1,-0.08,2.6,2.2,3.8,2.8,2.0,1.9,0.015,0.016
2023,2023-04-01,Miami (FL),Connecticut,0.024,-8.97,0,0.19,4.2,6.2,6.6,4.3,4.1,0.9,0.025,0.022
2023,2023-03-17,Michigan State,Southern California,-0.075,1.19,1,0.41,-0.5,0.2,1.0,-0.8,0.3,2.0,0.012,0.019
2023,2023-03-19,Michigan State,Marquette,-0.211,-2.82,1,0.64,-5.4,-1.0,-1.3,-1.7,-1.3,2.9,-0.027,0.009
2023,2023-03-23,Michigan State,Kansas State,-0.106,-1.54,0,-0.63,-3.7,-0.1,-0.6,-2.3,-1.5,4.1,-0.008,0.033
2023,2023-03-16,Missouri,Utah State,-0.037,-2.82,1,0.05,2.6,1.6,4.3,4.6,2.4,-2.4,0.012,-0.012
2023,2023-03-18,Missouri,Princeton,0.003,6.65,0,0.67,4.7,1.6,5.4,5.0,2.7,-2.8,0.040,0.023
2023,2023-03-17,Montana State,Kansas State,0.017,-13.61,0,-0.84,-2.7,-2.0,-2.1,-1.9,-2.0,1.6,0.013,0.012
2023,2023-03-16,North Carolina Asheville,UCLA,-0.059,-23.85,0,0.65,4.3,5.4,5.0,5.1,4.8,-0.6,0.023,0.013
2023,2023-03-17,North Carolina State,Creighton,0.061,-5.33,0,0.65,1.8,2.9,1.6,2.1,2.1,-0.7,0.004,-0.014
2023,2023-03-16,Northern Kentucky,Houston,-0.265,-23.03,0,-0.25,-0.5,3.4,4.6,5.0,3.0,-1.7,0.019,0.043
2023,2023-03-16,Northwestern,Boise State,-0.071,0.90,1,-0.02,-3.1,0.3,0.1,0.5,-0.5,-0.3,-0.014,-0.007
2023,2023-03-18,Northwestern,UCLA,-0.197,-8.43,0,0.46,-2.2,2.1,1.8,2.7,1.7,1.1,-0.006,0.000
2023,2023-03-16,Oral Roberts,Duke,0.118,-7.28,0,0.95,9.0,6.3,5.0,3.7,4.2,0.4,0.025,0.036
2023,2023-03-16,Penn State,Texas A&M,-0.107,-0.72,1,0.09,0.5,1.1,1.1,-0.5,-0.1,4.4,0.013,0.029
2023,2023-03-18,Penn State,Texas,-0.136,-7.52,0,0.29,-2.7,-0.7,1.5,-0.5,-0.4,4.9,0.002,0.022
2023,2023-03-17,Pittsburgh,Iowa State,0.083,-4.77,1,-0.17,7.3,6.4,4.7,2.7,4.2,3.5,0.007,0.010
2023,2023-03-19,Pittsburgh,Xavier,-0.059,-5.44,0,0.23,-5.1,-0.3,-2.5,-3.2,-2.1,0.9,-0.015,-0.031
2023,2023-03-16,Princeton,Arizona,-0.099,-14.32,1,-0.02,-4.5,1.6,-0.9,-2.8,-1.4,1.6,-0.016,-0.019
2023,2023-03-18,Princeton,Missouri,-0.003,-6.65,1,-0.67,-4.7,-2.2,-3.6,-3.6,-2.5,2.8,-0.040,-0.023
2023,2023-03-24,Princeton,Creighton,0.088,-13.07,0,0.38,-0.4,3.0,0.8,-0.5,0.3,-0.6,-0.004,-0.013
2023,2023-03-17,Providence,Kentucky,0.000,-1.87,0,-0.14,3.0,5.6,3.1,2.0,2.8,-0.3,0.009,0.006
2023,2023-03-17,Purdue,Fairleigh Dickinson,0.282,27.21,0,-0.41,-8.1,-3.4,-5.5,-6.3,-5.9,2.9,-0.035,-0.030
2023,2023-03-17,Saint Mary's (CA),Virginia Commonwealth,-0.006,7.52,1,-0.16,-1.5,-0.3,-1.0,-1.3,-1.4,3.3,-0.001,0.015
2023,2023-03-19,Saint Mary's (CA),Connecticut,0.030,-5.54,0,-0.01,-5.9,0.6,-0.4,-1.9,-1.6,1.2,-0.005,0.018
2023,2023-03-16,San Diego State,College of Charleston,-0.099,7.41,1,0.59,-6.3,-0.7,-1.3,-1.3,-1.8,0.6,-0.007,-0.003
2023,2023-03-18,San Diego State,Furman,0.018,10.92,1,0.36,-8.7,-2.4,-3.2,-3.4,-3.3,-0.2,-0.042,-0.021
2023,2023-03-24,San Diego State,Alabama,-0.040,-7.38,1,0.50,-7.7,-3.0,-0.8,-2.7,-2.3,0.5,0.012,0.007
2023,2023-03-26,San Diego State,Creighton,0.176,-2.02,1,0.97,-5.1,-0.9,-2.0,-2.1,-1.9,-1.6,-0.015,-0.029
2023,2023-04-01,San Diego State,Florida Atlantic,-0.099,1.89,1,0.82,-4.2,0.8,1.5,-0.4,-0.1,-0.2,-0.013,-0.029
2023,2023-04-03,San Diego State,Connecticut,0.055,-7.14,0,0.81,-4.0,2.8,1.6,-0.2,0.3,0.5,-0.014,-0.014
2023,2023-03-17,Southern California,Michigan State,0.075,-1.19,0,-0.41,0.5,1.1,0.0,0.4,0.6,-2.0,-0.012,-0.019
2023,2023-03-16,Tennessee,Louisiana Lafayette,-0.091,16.57,1,-0.18,-9.1,-1.8,-2.8,-5.0,-5.6,-1.0,-0.046,-0.059
2023,2023-03-18,Tennessee,Duke,-0.068,5.01,1,0.53,-3.5,0.9,-0.2,-1.8,-2.9,-1.9,-0.018,-0.023
2023,2023-03-23,Tennessee,Florida Atlantic,-0.215,6.92,0,0.43,-7.2,-1.0,0.5,-2.5,-3.1,-1.3,-0.031,-0.048
2023,2023-03-16,Texas,Colgate,0.000,18.36,1,-0.42,-0.8,0.6,0.1,0.2,-0.5,-2.4,-0.023,-0.046
2023,2023-03-18,Texas,Penn State,0.136,7.52,1,-0.29,2.7,-0.6,0.9,1.4,0.2,-4.9,-0.002,-0.022
2023,2023-03-24,Texas,Xavier,0.029,4.53,1,-0.10,-4.6,-2.2,-2.3,-2.7,-3.3,-1.6,-0.011,-0.039
2023,2023-03-26,Texas,Miami (FL),-0.017,6.58,0,0.08,-2.6,-1.1,-1.3,-1.1,-2.0,-1.9,-0.015,-0.016
2023,2023-03-16,Texas A&M,Penn State,0.107,0.72,0,-0.09,-0.5,0.1,-1.6,0.1,-1.1,-4.4,-0.013,-0.029
2023,2023-03-16,Texas A&M-Corpus Christi,Alabama,-0.147,-25.76,0,0.24,1.6,2.4,5.2,3.1,1.4,-1.2,0.046,0.041
2023,2023-03-17,Texas Christian,Arizona State,-0.021,4.32,1,-0.30,2.3,-1.1,1.9,1.2,1.1,-0.8,0.014,-0.023
2023,2023-03-19,Texas Christian,Gonzaga,-0.212,-3.38,0,-0.22,-7.9,-0.4,-0.7,-1.1,-1.4,-1.7,-0.047,-0.055
2023,2023-03-16,UCLA,North Carolina Asheville,0.059,23.85,1,-0.65,-4.3,-3.7,-2.9,-3.5,-4.1,0.6,-0.023,-0.013
2023,2023-03-18,UCLA,Northwestern,0.197,8.43,1,-0.46,2.2,-1.0,-0.5,0.9,-0.8,-1.1,0.006,0.000
2023,2023-03-23,UCLA,Gonzaga,0.004,3.12,0,-0.46,-12.4,-4.5,-5.3,-4.8,-5.7,-0.9,-0.051,-0.034
2023,2023-03-16,Utah State,Missouri,0.037,2.82,0,-0.05,-2.6,-3.2,-1.2,-2.9,-1.8,2.4,-0.012,0.012
2023,2023-03-17,Vermont,Marquette,-0.127,-15.44,0,0.69,-5.0,-3.7,-2.2,-1.6,-1.9,2.9,-0.003,0.008
2023,2023-03-16,Virginia,Furman,-0.013,8.39,0,0.31,-11.9,-6.0,-3.3,-4.8,-4.6,1.7,-0.032,0.009
2023,2023-03-17,Virginia Commonwealth,Saint Mary's (CA),0.006,-7.52,0,0.16,1.5,3.7,3.9,3.5,1.9,-3.3,0.001,-0.015
2023,2023-03-16,West Virginia,Maryland,-0.061,1.37,0,-0.09,6.9,4.6,4.7,4.7,3.6,-2.5,0.026,0.020
2023,2023-03-17,Xavier,Kennesaw State,-0.029,15.43,1,-0.19,5.5,4.5,6.4,2.5,2.7,1.3,0.012,0.026
2023,2023-03-19,Xavier,Pittsburgh,0.059,5.44,1,-0.23,5.1,3.7,5.1,2.9,2.2,-0.9,0.015,0.031
2023,2023-03-24,Xavier,Texas,-0.029,-4.53,0,0.10,4.6,4.8,7.2,3.5,3.2,1.6,0.011,0.039
2022,2022-03-17,Akron,UCLA,-0.054,-18.39,0,-0.91,-3.4,-0.1,-0.9,-0.3,-1.0,-0.6,0.013,0.011
2022,2022-03-18,Alabama,Notre Dame,-0.103,2.75,0,-0.39,8.2,7.7,6.3,5.3,5.6,-3.6,0.001,-0.028
2022,2022-03-18,Alabama Birmingham,Houston,-0.059,-11.65,0,0.13,6.7,7.1,5.0,5.8,4.9,-1.0,0.020,0.038
2022,2022-03-18,Arizona,Wright State,0.283,24.69,1,-0.55,2.3,2.0,2.3,-2.2,-0.5,-0.5,-0.016,0.007
2022,2022-03-20,Arizona,Texas Christian,0.287,9.03,1,-0.36,9.3,7.0,4.9,1.4,2.7,0.4,0.019,0.035
2022,2022-03-24,Arizona,Houston,0.059,0.20,0,-0.40,9.3,9.4,9.1,5.1,6.4,-0.5,0.014,0.027
2022,2022-03-17,Arkansas,Vermont,-0.091,8.46,1,-0.47,4.3,8.1,5.7,5.2,4.5,-3.2,-0.023,-0.041
2022,2022-03-19,Arkansas,New Mexico State,-0.055,9.16,1,0.07,3.6,5.2,3.2,2.2,2.9,-0.5,0.001,-0.002
2022,2022-03-24,Arkansas,Gonzaga,-0.139,-9.19,1,0.56,-4.6,3.3,2.8,1.8,1.6,-1.7,-0.010,-0.024
2022,2022-03-26,Arkansas,Duke,-0.066,-3.28,0,0.50,-1.8,2.2,0.5,1.1,0.7,-3.0,-0.014,-0.029
2022,2022-03-18,Auburn,Jacksonville State,0.166,19.39,1,-0.05,2.4,3.8,0.8,1.1,2.7,-0.9,-0.031,-0.045
2022,2022-03-20,Auburn,Miami (FL),0.147,7.98,0,-0.35,0.5,0.9,-1.9,0.1,0.7,-1.6,-0.043,-0.028
2022,2022-03-17,Baylor,Norfolk State,0.013,25.64,1,-0.43,1.2,1.7,1.7,1.3,-0.1,-0.3,0.014,0.005
2022,2022-03-19,Baylor,North Carolina,0.094,6.23,0,-0.04,-4.1,-1.4,-2.1,-2.5,-3.7,-3.5,-0.001,-0.025
2022,2022-03-17,Boise State,Memphis,0.117,-2.74,0,0.77,-7.2,-2.7,-4.7,-5.3,-3.8,2.6,-0.005,-0.001
2022,2022-03-18,Cal State Fullerton,Duke,-0.146,-19.59,0,0.66,-5.7,-0.9,-1.7,0.0,-1.3,-2.5,0.000,0.010
2022,2022-03-18,Chattanooga,Illinois,0.084,-10.57,0,0.26,-1.5,0.1,-0.1,-1.1,-1.8,-0.2,0.011,-0.019
2022,2022-03-18,Colgate,Wisconsin,-0.098,-12.15,0,1.01,3.4,1.2,3.3,1.2,0.7,-1.1,0.026,0.054
2022,2022-03-17,Colorado State,Michigan,0.285,-2.75,0,0.36,-1.3,-1.0,-0.1,-1.2,-1.8,-0.5,0.016,0.011
2022,2022-03-17,Connecticut,New Mexico State,-0.094,9.29,0,-0.20,1.5,5.0,1.8,-0.1,2.5,1.0,-0.009,0.037
2022,2022-03-17,Creighton,San Diego State,-0.075,-1.79,1,-0.99,6.1,6.7,5.6,4.0,4.8,1.3,0.009,-0.015
2022,2022-03-19,Creighton,Kansas,-0.157,-10.94,0,-0.78,-4.9,2.1,0.3,-0.9,0.1,0.0,-0.024,-0.017
2022,2022-03-18,Davidson,Michigan State,0.171,-2.75,0,0.07,0.1,-0.9,-0.7,-2.4,-1.9,1.2,0.026,0.014
2022,2022-03-18,Delaware,Villanova,-0.141,-18.99,0,-0.21,4.6,3.7,4.4,4.8,3.9,-1.8,0.019,0.017
2022,2022-03-18,Duke,Cal State Fullerton,0.146,19.59,1,-0.66,5.7,3.6,2.3,0.8,1.8,2.5,0.000,-0.010
2022,2022-03-20,Duke,Michigan State,0.176,6.37,1,-0.23,3.3,2.0,1.2,-0.5,0.5,1.1,0.005,-0.004
2022,2022-03-24,Duke,Texas Tech,0.088,-0.53,1,-0.74,7.6,7.4,6.3,3.4,5.0,4.2,0.012,0.025
2022,2022-03-26,Duke,Arkansas,0.066,3.28,1,-0.50,1.8,1.3,1.8,-0.3,0.8,3.0,0.014,0.029
2022,2022-04-02,Duke,North Carolina,0.105,4.05,0,-0.05,-0.7,0.8,0.1,-1.8,-0.8,0.2,0.006,-0.005
2022,2022-03-17,Georgia State,Gonzaga,-0.254,-26.57,0,0.21,-8.5,1.8,1.4,1.1,0.5,-2.2,-0.028,0.011
2022,2022-03-17,Gonzaga,Georgia State,0.254,26.57,1,-0.21,8.5,3.0,2.8,0.4,1.4,2.2,0.028,-0.011
2022,2022-03-19,Gonzaga,Memphis,0.219,10.79,1,-0.04,5.0,3.6,1.4,-2.5,0.1,3.5,0.005,0.000
2022,2022-03-24,Gonzaga,Arkansas,0.139,9.19,0,-0.56,4.6,2.5,1.8,-1.1,0.1,1.7,0.010,0.024
2022,2022-03-18,Houston,Alabama Birmingham,0.059,11.65,1,-0.13,-6.7,-1.3,-1.4,-2.7,-3.2,1.0,-0.020,-0.038
2022,2022-03-20,Houston,Illinois,0.143,5.86,1,-0.05,-4.0,-1.2,-1.2,-3.5,-3.1,-1.2,-0.009,-0.027
2022,2022-03-24,Houston,Arizona,-0.059,-0.20,1,0.40,-9.3,-2.1,-2.5,-4.1,-3.5,0.5,-0.014,-0.027
2022,2022-03-26,Houston,Villanova,0.065,3.24,0,-0.46,-0.4,1.2,0.5,-0.3,-1.1,-1.8,-0.017,-0.021
2022,2022-03-18,Illinois,Chattanooga,-0.084,10.57,1,-0.26,1.5,5.1,3.7,1.2,1.2,0.2,-0.011,0.019
2022,2022-03-20,Illinois,Houston,-0.143,-5.86,0,0.05,4.0,7.5,6.4,3.9,4.6,1.2,0.009,0.027
2022,2022-03-17,Indiana,Saint Mary's (CA),-0.164,-2.11,0,0.09,3.3,6.1,5.9,2.6,3.7,-0.1,-0.008,-0.015
2022,2022-03-17,Iowa,Richmond,0.086,11.83,1,-0.82,7.5,2.3,3.1,2.4,2.0,-0.1,0.009,0.010
2022,2022-03-18,Iowa State,Louisiana State,-0.042,-5.07,1,1.18,-4.0,-1.6,1.2,0.2,-0.6,1.1,0.006,0.003
2022,2022-03-20,Iowa State,Wisconsin,-0.149,-0.75,1,0.92,-3.9,-3.0,-0.1,0.1,-1.9,-5.2,0.002,-0.014
2022,2022-03-25,Iowa State,Miami (FL),-0.072,1.16,0,0.18,-8.1,-5.5,-4.2,-2.3,-4.1,-3.5,-0.036,-0.040
2022,2022-03-18,Jacksonville State,Auburn,-0.166,-19.39,0,0.05,-2.4,0.1,1.6,-0.6,-0.5,0.9,0.031,0.045
2022,2022-03-17,Kansas,Texas Southern,0.211,25.58,1,-0.73,5.2,2.2,2.6,-0.3,1.5,1.1,0.031,0.021
2022,2022-03-19,Kansas,Creighton,0.157,10.94,1,0.78,4.9,1.5,2.5,0.2,0.8,0.0,0.024,0.017
2022,2022-03-25,Kansas,Providence,-0.010,9.20,1,-0.14,3.9,2.3,2.6,0.8,0.8,-1.5,0.013,0.008
2022,2022-03-27,Kansas,Miami (FL),0.127,11.06,1,-0.14,0.6,-0.3,-1.5,-1.0,-1.1,-0.7,-0.024,-0.013
2022,2022-04-02,Kansas,Villanova,0.036,2.97,1,-0.22,5.6,4.9,4.3,3.1,2.7,-1.6,-0.002,-0.004
2022,2022-04-04,Kansas,North Carolina,0.105,6.78,1,0.39,-1.8,0.6,-0.8,-2.2,-1.7,-1.7,-0.001,-0.018
2022,2022-03-17,Kentucky,Saint Peter's,0.155,17.94,0,-0.17,8.3,5.2,4.6,2.0,1.7,1.7,0.023,0.007
2022,2022-03-17,Longwood,Tennessee,0.025,-20.81,0,0.15,2.6,3.1,2.7,2.1,1.3,0.9,0.026,0.013
2022,2022-03-18,Louisiana State,Iowa State,0.042,5.07,0,-1.18,4.0,2.3,1.0,2.3,0.6,-1.1,-0.006,-0.003
2022,2022-03-18,Loyola (IL),Ohio State,0.148,-0.78,0,0.00,-3.1,-2.2,-1.4,-2.8,-3.2,-2.2,-0.001,-0.008
2022,2022-03-17,Marquette,North Carolina,-0.106,-4.14,0,-0.75,-1.8,1.2,1.8,0.8,1.0,-2.4,-0.005,-0.016
2022,2022-03-17,Memphis,Boise State,-0.117,2.74,1,-0.77,7.2,8.1,6.7,5.3,5.0,-2.6,0.005,0.001
2022,2022-03-19,Memphis,Gonzaga,-0.219,-10.79,0,0.04,-5.0,3.8,3.8,2.2,2.3,-3.5,-0.005,0.000
2022,2022-03-18,Miami (FL),Southern California,-0.091,-1.28,1,0.25,3.0,0.6,3.3,3.4,2.1,-0.7,0.046,-0.002
2022,2022-03-20,Miami (FL),Auburn,-0.147,-7.98,1,0.35,-0.5,-1.4,3.1,2.3,1.3,1.6,0.043,0.028
2022,2022-03-25,Miami (FL),Iowa State,0.072,-1.16,1,-0.18,8.1,2.6,5.2,4.8,3.6,3.5,0.036,0.040
2022,2022-03-27,Miami (FL),Kansas,-0.127,-11.06,0,0.14,-0.6,0.3,2.7,2.8,1.6,0.7,0.024,0.013
2022,2022-03-17,Michigan,Colorado State,-0.285,2.75,1,-0.36,1.3,3.6,2.8,1.3,1.9,0.5,-0.016,-0.011
2022,2022-03-19,Michigan,Tennessee,-0.239,-6.20,1,0.04,2.8,4.3,4.6,2.3,3.5,3.3,0.021,-0.005
