year,date,team,opponent,win,srs,outcome,PTS,REB,AST,STL,BLK,TOV,TS%,3P%,,,N,O,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
2023,2023-03-26,Creighton,San Diego State,-0.176,2.02,L,5.1,4.9,5.0,1.9,3.0,1.6,0.015,0.029,2023,Iowa State,3.08,Team,33,40.3,25.3,57,0.443,18.9,37.7,0.5,6.4,19.3,0.331,10.7,15.9,0.67,11.5,22.2,33.7,13.8,8.8,2.9,12.9,19.2,67.6,Opponent,33,40.3,20.3,48.4,0.42,12.7,25.8,0.492,7.6,22.6,0.337,14.3,19.8,0.725,8,22.5,30.5,11.8,6.8,2.9,16.5,17,62.6,0.528,0.548
2023,2023-03-17,Drake,Miami (FL),0.013,-6.14,L,-6.2,-2.2,-4.5,-4.3,-4.4,0.6,-0.028,-0.013,2023,Kansas,2.27,Team,36,40.3,27.8,59.5,0.468,20.9,39.4,0.53,7,20.1,0.347,12.8,17.8,0.72,9.8,26.1,35.9,16.4,8.8,3.9,12.3,16.6,75.4,Opponent,36,40.3,24.3,58.4,0.415,17.9,37.8,0.472,6.4,20.6,0.31,13.2,18.2,0.725,10.5,24.3,34.9,11.3,6.1,2.8,14.3,16,68.1,0.560,0.513
2023,2023-03-16,Duke,Oral Roberts,-0.118,7.28,W,-9.0,-2.3,-2.0,-3.1,-2.4,-0.4,-0.025,-0.036,2023,Kansas State,3.27,Team,36,40.7,26.7,57.9,0.461,19.5,37,0.528,7.2,20.9,0.343,15.6,20.9,0.748,9.9,24.8,34.6,17,8,2.8,13.8,17.9,76.2,Opponent,36,40.7,24.4,57.5,0.424,17.9,36.3,0.492,6.5,21.2,0.308,14.6,20.9,0.698,10.8,23.1,33.9,13.7,7.2,3.9,15,18.3,69.9,0.568,0.524
2023,2023-03-18,Duke,Tennessee,0.068,-5.01,L,3.5,6.3,5.2,2.4,3.7,1.9,0.018,0.023,2023,Kennesaw State,2.88,Team,35,40.4,26.6,57.7,0.461,18.4,35.4,0.521,8.2,22.4,0.365,13.7,20.7,0.661,9.6,25.6,35.3,14.3,7.9,2.7,12.4,18,75,Opponent,35,40.4,24.1,55.9,0.43,16.9,34.3,0.493,7.2,21.7,0.331,13.7,19.9,0.688,9,24.9,33.9,11.4,6.6,3,14.3,19.3,69,0.561,0.534
2023,2023-03-17,Fairleigh Dickinson,Purdue,-0.282,-27.21,W,8.1,9.0,7.0,6.7,5.3,-2.9,0.035,0.030,2023,Kent State,2.91,Team,35,40.1,27.3,60.8,0.45,19.5,37.4,0.521,7.9,23.4,0.336,13.6,18.7,0.726,11,24.7,35.7,12.3,8.8,3.9,11.4,18.8,76.1,Opponent,35,40.1,22.2,54.9,0.405,15.3,32.6,0.468,6.9,22.2,0.311,14.5,20.2,0.721,10.4,24.5,34.9,11.3,5.4,2.9,15.7,18.4,65.9,0.551,0.517
2023,2023-03-19,Fairleigh Dickinson,Florida Atlantic,-0.340,-22.90,L,4.3,5.2,7.7,5.6,4.3,-1.4,0.029,0.003,2023,Kentucky,2.64,Team,34,40.3,27.3,60.1,0.454,21.1,42.1,0.5,6.3,18,0.347,13.6,19.2,0.706,13.9,25.5,39.4,15.1,6.4,3.7,11.8,16,74.5,Opponent,34,40.3,24.3,56.7,0.429,17.8,36.6,0.486,6.5,20.1,0.324,12.6,17,0.744,8.5,21.5,30.1,11.7,6,2.2,11.1,17.1,67.8,0.543,0.528
2023,2023-03-17,Florida Atlantic,Memphis,0.147,-0.58,W,-4.1,-1.5,-2.8,-3.6,-4.0,2.2,-0.007,0.014,2023,Louisiana Lafayette,2.92,Team,34,40.2,27.9,58,0.482,20.9,39.3,0.532,7,18.7,0.376,14.4,21.2,0.682,11.1,25.4,36.5,14.4,7.2,3,12.2,17,77.4,Opponent,34,40.2,25.3,57.2,0.442,19.4,39.8,0.488,5.9,17.4,0.336,13.1,18.6,0.703,8.9,21.6,30.4,10.6,6.6,3.1,12.6,18.3,69.5,0.575,0.531
2023,2023-03-19,Florida Atlantic,Fairleigh Dickinson,0.340,22.90,W,-4.3,-2.0,-4.7,-4.1,-5.1,1.4,-0.029,-0.003,2023,Marquette,2.00,Team,36,40.6,29.3,60.4,0.486,20.4,35.1,0.582,8.9,25.3,0.353,11.7,16.3,0.718,8.8,23,31.8,17.3,9.2,3,10.7,16.2,79.3,Opponent,36,40.6,25.5,57.4,0.445,18.1,35.9,0.503,7.5,21.6,0.347,11.8,16.7,0.703,10.7,24.8,35.4,14.8,5.7,3.3,15.8,15.3,70.3,0.587,0.543
2023,2023-03-23,Florida Atlantic,Tennessee,0.215,-6.92,W,7.2,7.2,6.0,3.7,3.6,1.3,0.031,0.048,2023,Maryland,2.80,Team,35,40.1,24.6,55,0.448,18,34.7,0.518,6.7,20.3,0.328,13.8,18.9,0.732,9.8,23.8,33.6,11.4,5.5,3.7,10.7,16,69.7,Opponent,35,40.1,23.3,54.6,0.426,17.6,37.2,0.474,5.6,17.4,0.323,11.3,15.5,0.731,9.3,22.8,32.1,11,4.8,3.4,11.9,18.3,63.5,0.550,0.517
2023,2023-03-25,Florida Atlantic,Kansas State,0.193,-1.87,W,-1.5,0.2,-2.0,-2.7,-3.0,2.4,-0.008,0.019,2023,Memphis,3.46,Team,35,40.4,28.7,59.9,0.479,22.5,42.5,0.531,6.1,17.4,0.353,15.9,21.2,0.747,10.4,25.5,35.9,15.6,8.6,4.5,13.3,18.2,79.4,Opponent,35,40.4,24.2,60.4,0.401,16.3,34.5,0.471,8,25.9,0.308,15.3,20.8,0.739,12.3,22.9,35.3,13.4,7.2,4,15.2,18.5,71.8,0.573,0.516
